Honda	Ridgeline	2016 Ridgeline Crew Cab	2016	Not Available	Truck	Not Available	Not Available	 Gas	Not Available	Not Available	 Four Wheel Drive	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Porsche	911	2016 911 Convertible	2016	 19/27 mpg	Convertible	 7-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Flat 6	 Rear Wheel Drive	 Premium unleaded (required)	 3.4 L	 350 hp @ 7400 rpm	 287 ft-lbs. @ 5600 rpm	$96,200	        Yes	        Yes	        Yes
Porsche	911	2015 911 Convertible	2015	 19/27 mpg	Convertible	 7-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Flat 6	 Rear Wheel Drive	 Premium unleaded (required)	 3.4 L	 350 hp @ 7400 rpm	 287 ft-lbs. @ 5600 rpm	$96,200	        Yes	        Yes	        Yes
Buick	Cascada	2016 Cascada Convertible	2016	Not Available	Convertible	Not Available	Not Available	 Gas	Not Available	Not Available	 Front Wheel Drive	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Mitsubishi	Outlander Sport	2015 Outlander Sport SUV	2015	 24/30 mpg	SUV	 5-speed Manual	 5 Yr./ 60000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 148 hp @ 6000 rpm	 145 ft-lbs. @ 4200 rpm	$19,595	        Yes	        No	        No
Mitsubishi	Outlander Sport	2014 Outlander Sport SUV	2014	 24/30 mpg	SUV	 5-speed Manual	 5 Yr./ 60000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 148 hp @ 6000 rpm	 145 ft-lbs. @ 4200 rpm	$19,470	        Yes	        No	        No
Porsche	911	2014 911 Convertible	2014	 19/27 mpg	Convertible	 7-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Flat 6	 Rear Wheel Drive	 Premium unleaded (required)	 3.4 L	 350 hp @ 7400 rpm	 287 ft-lbs. @ 5600 rpm	$96,200	        Yes	        Yes	        Yes
Land Rover	Discovery Sport	2015 Discovery Sport SUV	2015	 20/26 mpg	SUV	 9-speed Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 All Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 240 hp @ 5800 rpm	 250 ft-lbs. @ 1750 rpm	$37,070	        Yes	        Yes	        No
Lincoln	MKZ	2016 MKZ Sedan	2016	 22/33 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 231 hp @ 5000 rpm	 270 ft-lbs. @ 3000 rpm	$35,190	        Yes	        Yes	        Yes
Lincoln	MKZ	2015 MKZ Sedan	2015	 22/33 mpg	Sedan	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 231 hp @ 5500 rpm	 270 ft-lbs. @ 3000 rpm	$35,190	        Yes	        Yes	        Yes
Lincoln	Navigator	2016 Navigator SUV	2016	 16/22 mpg	SUV	 6-speed Shiftable Automatic	 4 Yr./ 50000 Mi.	 Gas	7	V6	 Rear Wheel Drive	 Regular unleaded	 3.5 L	 365 hp @ 5000 rpm	 420 ft-lbs. @ 2500 rpm	$63,090	        Yes	        Yes	        No
