Honda	Ridgeline	2016 Ridgeline Crew Cab	2016	Not Available	Truck	Not Available	Not Available	 Gas	Not Available	Not Available	 Four Wheel Drive	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Scion	FR-S	2014 FR-S Coupe	2014	 22/30 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	4	Flat 4	 Rear Wheel Drive	 Premium unleaded (required)	 2.0 L	 200 hp @ 7000 rpm	 151 ft-lbs. @ 6600 rpm	$24,700	        Yes	        No	        No
Toyota	Land Cruiser	2015 Land Cruiser SUV	2015	 13/18 mpg	SUV	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	8	V8	 Four Wheel Drive	 Regular unleaded	 5.7 L	 381 hp @ 5600 rpm	 401 ft-lbs. @ 3600 rpm	$80,155	        Yes	        Yes	        Yes
Toyota	Avalon	2016 Avalon Sedan	2016	 21/31 mpg	Sedan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V6	 Front Wheel Drive	 Regular unleaded	 3.5 L	 268 hp @ 6200 rpm	 248 ft-lbs. @ 4700 rpm	$32,650	        Yes	        Yes	        Yes
Toyota	Avalon Hybrid	2014 Avalon Hybrid Sedan	2014	 40/39 mpg	Sedan	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.5 L	 200 hp @ 5700 rpm	Not Available	$35,805	        Yes	        Yes	        No
Toyota	Camry	2016 Camry Sedan	2016	 25/35 mpg	Sedan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.5 L	 178 hp @ 6000 rpm	 170 ft-lbs. @ 4100 rpm	$23,070	        Yes	        No	        No
Toyota	Camry	2015 Camry Sedan	2015	 25/35 mpg	Sedan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.5 L	 178 hp @ 6000 rpm	 170 ft-lbs. @ 4100 rpm	$22,970	        Yes	        No	        No
Toyota	Camry Hybrid	2016 Camry Hybrid Sedan	2016	 43/39 mpg	Sedan	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.5 L	 200 hp @ 5700 rpm	Not Available	$26,790	        Yes	        No	        No
Toyota	Camry Hybrid	2015 Camry Hybrid Sedan	2015	 43/39 mpg	Sedan	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.5 L	 200 hp @ 5700 rpm	Not Available	$26,790	        Yes	        No	        No
Toyota	Camry Hybrid	2014 Camry Hybrid Sedan	2014	 43/39 mpg	Sedan	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.5 L	 200 hp @ 5700 rpm	Not Available	$26,140	        Yes	        No	        No
Toyota	Camry	2014 Camry Sedan	2014	 25/35 mpg	Sedan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.5 L	 178 hp @ 6000 rpm	 170 ft-lbs. @ 4100 rpm	$22,235	        Yes	        No	        No
Toyota	Corolla	2016 Corolla Sedan	2016	 28/37 mpg	Sedan	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.8 L	 132 hp @ 6000 rpm	 128 ft-lbs. @ 4400 rpm	$17,230	        Yes	        No	        No
Toyota	Corolla	2015 Corolla Sedan	2015	 28/37 mpg	Sedan	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.8 L	 132 hp @ 6000 rpm	 128 ft-lbs. @ 4400 rpm	$16,950	        Yes	        No	        No
Toyota	Corolla	2014 Corolla Sedan	2014	 28/37 mpg	Sedan	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.8 L	 132 hp @ 6000 rpm	 128 ft-lbs. @ 4400 rpm	$16,800	        Yes	        No	        No
Toyota	Highlander	2014 Highlander SUV	2014	 20/25 mpg	SUV	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	8	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.7 L	 185 hp @ 5800 rpm	 184 ft-lbs. @ 4200 rpm	$29,215	        Yes	        No	        No
Toyota	Prius v	2014 Prius v Wagon	2014	 44/40 mpg	Wagon	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.8 L	 134 hp @ 5200 rpm	 105 ft-lbs. @ 4000 rpm	$26,750	        Yes	        No	        No
Toyota	Prius Plug-in	2015 Prius Plug-in Hatchback	2015	Not Available	Hatchback	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.8 L	 134 hp @ 5200 rpm	 105 ft-lbs. @ 4000 rpm	$29,990	        Yes	        Yes	        Yes
Toyota	Prius Plug-in	2014 Prius Plug-in Hatchback	2014	Not Available	Hatchback	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.8 L	 134 hp @ 5200 rpm	 105 ft-lbs. @ 4000 rpm	$29,990	        Yes	        Yes	        Yes
Toyota	Prius v	2015 Prius v Wagon	2015	 44/40 mpg	Wagon	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.8 L	 134 hp @ 5200 rpm	Not Available	$26,675	        Yes	        No	        No
Toyota	RAV4	2014 RAV4 SUV	2014	 24/31 mpg	SUV	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.5 L	 176 hp @ 6000 rpm	 172 ft-lbs. @ 4100 rpm	$23,550	        Yes	        No	        No
Toyota	Prius c	2014 Prius c Hatchback	2014	 53/46 mpg	Hatchback	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.5 L	 99 hp @ 4800 rpm	 82 ft-lbs. @ 4000 rpm	$19,080	        Yes	        No	        No
Toyota	Sequoia	2015 Sequoia SUV	2015	 13/17 mpg	SUV	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	8	V8	 Rear Wheel Drive	 Regular unleaded	 5.7 L	 381 hp @ 5600 rpm	 401 ft-lbs. @ 3600 rpm	$44,395	        Yes	        No	        No
Toyota	Sequoia	2014 Sequoia SUV	2014	 13/17 mpg	SUV	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	8	V8	 Rear Wheel Drive	 Regular unleaded	 5.7 L	 381 hp @ 5600 rpm	 401 ft-lbs. @ 3600 rpm	$43,595	        Yes	        No	        No
Toyota	Tacoma	2014 Tacoma Access Cab	2014	 21/25 mpg	Truck	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	4	Inline 4	 Rear Wheel Drive	 Regular unleaded	 2.7 L	 159 hp @ 5200 rpm	 180 ft-lbs. @ 3800 rpm	$20,615	        Yes	        No	        No
Toyota	Sienna	2015 Sienna Minivan	2015	 18/25 mpg	Minivan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	7	V6	 Front Wheel Drive	 Regular unleaded	 3.5 L	 266 hp @ 6200 rpm	 245 ft-lbs. @ 4700 rpm	$28,700	        Yes	        No	        No
Toyota	Tacoma	2015 Tacoma Access Cab	2015	 21/25 mpg	Truck	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	4	Inline 4	 Rear Wheel Drive	 Regular unleaded	 2.7 L	 159 hp @ 5200 rpm	 180 ft-lbs. @ 3800 rpm	$20,965	        Yes	        No	        No
Toyota	Sienna	2014 Sienna Minivan	2014	 18/25 mpg	Minivan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	7	V6	 Front Wheel Drive	 Regular unleaded	 3.5 L	 266 hp @ 6200 rpm	 245 ft-lbs. @ 4700 rpm	$26,920	        No	        No	        No
Toyota	Tacoma	2016 Tacoma Access Cab	2016	 19/23 mpg	Truck	 6-speed Automatic	 3 Yr./ 36000 Mi.	 Gas	4	Inline 4	 Rear Wheel Drive	 Regular unleaded	 2.7 L	 159 hp @ 5200 rpm	 180 ft-lbs. @ 3800 rpm	$23,300	        Yes	        No	        No
Ford	Transit Wagon	2015 Transit Wagon Van	2015	 14/19 mpg	Van	 6-speed Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	8	V6	 Rear Wheel Drive	 Flex-fuel (FFV)	 3.7 L	 275 hp @ 6000 rpm	 260 ft-lbs. @ 4000 rpm	$32,270	        No	        No	        No
Ford	Transit Wagon	2016 Transit Wagon Van	2016	 14/19 mpg	Van	 6-speed Automatic	Not Available	 Flex-fuel (ffv)	8	V6	 Rear Wheel Drive	 Flex-fuel (FFV)	 3.7 L	 275 hp @ 6000 rpm	 260 ft-lbs. @ 4000 rpm	$33,175	        No	        No	        No
Ford	Transit Van	2015 Transit Van 	2015	Not Available	Van	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	2	V6	 Rear Wheel Drive	 Flex-fuel (FFV)	 3.7 L	 275 hp @ 6000 rpm	 260 ft-lbs. @ 4000 rpm	$29,735	        No	        No	        No
Ford	Transit Van	2016 Transit Van 	2016	Not Available	Van	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	2	V6	 Rear Wheel Drive	 Flex-fuel (FFV)	 3.7 L	 275 hp @ 6000 rpm	 260 ft-lbs. @ 4000 rpm	$30,960	        No	        No	        No
Ford	Taurus	2016 Taurus Sedan	2016	 19/29 mpg	Sedan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	5	V6	 Front Wheel Drive	 Flex-fuel (FFV)	 3.5 L	 288 hp @ 6500 rpm	 254 ft-lbs. @ 4000 rpm	$27,110	        Yes	        No	        No
Ford	Transit Connect	2016 Transit Connect Minivan	2016	 21/29 mpg	Minivan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	2	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.5 L	 169 hp @ 6000 rpm	 171 ft-lbs. @ 4500 rpm	$22,675	        No	        No	        No
Ford	Taurus	2015 Taurus Sedan	2015	 19/29 mpg	Sedan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	5	V6	 Front Wheel Drive	 Flex-fuel (FFV)	 3.5 L	 288 hp @ 6500 rpm	 254 ft-lbs. @ 4000 rpm	$27,055	        Yes	        No	        Yes
Ford	Mustang	2016 Mustang Convertible	2016	 17/28 mpg	Convertible	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	4	V6	 Rear Wheel Drive	 Regular unleaded	 3.7 L	 300 hp @ 6500 rpm	 280 ft-lbs. @ 4000 rpm	$29,395	        Yes	        No	        No
Ford	Shelby GT500	2014 Shelby GT500 Convertible	2014	 15/24 mpg	Convertible	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	4	V8	 Rear Wheel Drive	 Premium unleaded (required)	 5.8 L	 662 hp @ 6250 rpm	 631 ft-lbs. @ 4000 rpm	$60,110	        Yes	        Yes	        No
Ford	Mustang	2016 Mustang Coupe	2016	 17/28 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	4	V6	 Rear Wheel Drive	 Regular unleaded	 3.7 L	 300 hp @ 6500 rpm	 280 ft-lbs. @ 4000 rpm	$23,895	        Yes	        No	        No
Ford	Mustang	2015 Mustang Convertible	2015	 17/28 mpg	Convertible	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	4	V6	 Rear Wheel Drive	 Regular unleaded	 3.7 L	 300 hp @ 6500 rpm	 280 ft-lbs. @ 4000 rpm	$29,300	        Yes	        No	        No
Ford	GT	2017 GT Coupe	2017	Not Available	Coupe	Not Available	Not Available	 Gas	Not Available	Not Available	 Rear Wheel Drive	 Premium unleaded (required)	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Ford	Mustang	2015 Mustang Coupe	2015	 17/28 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	4	V6	 Rear Wheel Drive	 Regular unleaded	 3.7 L	 300 hp @ 6500 rpm	 280 ft-lbs. @ 4000 rpm	$23,800	        Yes	        No	        No
Ford	Taurus	2016 Taurus SHO	2016	 17/25 mpg	Sedan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (recommended)	 3.5 L	 365 hp @ 5500 rpm	 350 ft-lbs. @ 1500 rpm	$40,275	        Yes	        Yes	        Yes
Ford	Taurus	2015 Taurus SHO	2015	 17/25 mpg	Sedan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (recommended)	 3.5 L	 365 hp @ 5500 rpm	 350 ft-lbs. @ 1500 rpm	$40,220	        Yes	        Yes	        Yes
Ford	Shelby GT500	2014 Shelby GT500 Coupe	2014	 15/24 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	4	V8	 Rear Wheel Drive	 Premium unleaded (required)	 5.8 L	 662 hp @ 6250 rpm	 631 ft-lbs. @ 4000 rpm	$55,110	        Yes	        Yes	        No
Ford	Fusion Hybrid	2016 Fusion Hybrid Sedan	2016	 44/41 mpg	Sedan	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 188 hp @ 6000 rpm	 129 ft-lbs. @ 4000 rpm	$25,675	        Yes	        No	        No
Ford	Taurus	2014 Taurus SHO	2014	 17/25 mpg	Sedan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V6	 All Wheel Drive	 Premium unleaded (recommended)	 3.5 L	 365 hp @ 5500 rpm	 350 ft-lbs. @ 1500 rpm	$39,980	        Yes	        Yes	        Yes
Ford	Fusion Hybrid	2015 Fusion Hybrid Sedan	2015	 44/41 mpg	Sedan	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 188 hp @ 6000 rpm	 129 ft-lbs. @ 4000 rpm	$26,575	        Yes	        No	        No
Ford	Fusion Energi	2014 Fusion Energi Sedan	2014	Not Available	Sedan	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	Not Available	 2.0 L	 188 hp @ 6000 rpm	 129 ft-lbs. @ 4000 rpm	$34,700	        Yes	        Yes	        Yes
Ford	Focus ST	2016 Focus ST Hatchback	2016	 23/32 mpg	Hatchback	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 252 hp @ 5500 rpm	 270 ft-lbs. @ 2500 rpm	$24,425	        Yes	        Yes	        No
Ford	Focus ST	2015 Focus ST Hatchback	2015	 23/32 mpg	Hatchback	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 252 hp @ 5500 rpm	 270 ft-lbs. @ 2500 rpm	$24,370	        Yes	        Yes	        No
Ford	Fusion	2017 Fusion Sedan	2017	Not Available	Sedan	Not Available	Not Available	 Gas	Not Available	Not Available	 Front Wheel Drive	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Ford	Fusion	2016 Fusion Sedan	2016	 22/34 mpg	Sedan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.5 L	 175 hp @ 6000 rpm	 175 ft-lbs. @ 4500 rpm	$22,600	        Yes	        No	        No
Ford	Fusion	2014 Fusion Sedan	2014	 22/34 mpg	Sedan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.5 L	 175 hp @ 6000 rpm	 175 ft-lbs. @ 4500 rpm	$21,970	        Yes	        No	        Yes
Ford	Fusion Energi	2016 Fusion Energi Sedan	2016	Not Available	Sedan	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	Not Available	 2.0 L	 188 hp @ 6000 rpm	 129 ft-lbs. @ 4000 rpm	$33,900	        Yes	        Yes	        Yes
Ford	Fusion	2015 Fusion Sedan	2015	 22/34 mpg	Sedan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.5 L	 175 hp @ 6000 rpm	 175 ft-lbs. @ 4500 rpm	$22,500	        Yes	        No	        No
Ford	Fusion Energi	2015 Fusion Energi Sedan	2015	Not Available	Sedan	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	Not Available	 2.0 L	 188 hp @ 6000 rpm	 129 ft-lbs. @ 4000 rpm	$34,800	        Yes	        Yes	        Yes
Ford	Focus ST	2014 Focus ST Hatchback	2014	 23/32 mpg	Hatchback	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 252 hp @ 5500 rpm	 270 ft-lbs. @ 2500 rpm	$24,115	        Yes	        Yes	        No
Ford	Fusion Hybrid	2014 Fusion Hybrid Sedan	2014	 44/41 mpg	Sedan	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 188 hp @ 6000 rpm	 129 ft-lbs. @ 4000 rpm	$26,270	        Yes	        No	        Yes
Ford	Shelby GT350	2016 Shelby GT350 Coupe	2016	 14/21 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	4	V8	 Rear Wheel Drive	 Premium unleaded (recommended)	 5.2 L	 526 hp @ 7500 rpm	 429 ft-lbs. @ 4750 rpm	$47,870	        Yes	        Yes	        No
Ford	Mustang	2014 Mustang Coupe	2014	 19/29 mpg	Coupe	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	4	V6	 Rear Wheel Drive	 Regular unleaded	 3.7 L	 305 hp @ 6500 rpm	 280 ft-lbs. @ 4250 rpm	$22,510	        No	        No	        No
Ford	Mustang	2014 Mustang Convertible	2014	 19/29 mpg	Convertible	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	4	V6	 Rear Wheel Drive	 Regular unleaded	 3.7 L	 305 hp @ 6500 rpm	 280 ft-lbs. @ 4250 rpm	$27,510	        No	        No	        No
Ford	Taurus	2014 Taurus Sedan	2014	 19/29 mpg	Sedan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	5	V6	 Front Wheel Drive	 Flex-fuel (FFV)	 3.5 L	 288 hp @ 6500 rpm	 254 ft-lbs. @ 4000 rpm	$26,780	        No	        No	        No
Ford	Transit Connect	2015 Transit Connect Minivan	2015	 21/29 mpg	Minivan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	2	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.5 L	 169 hp @ 6000 rpm	 171 ft-lbs. @ 4500 rpm	$22,330	        No	        No	        No
Ford	Transit Connect	2014 Transit Connect Minivan	2014	 21/29 mpg	Minivan	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	2	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.5 L	 169 hp @ 6000 rpm	 171 ft-lbs. @ 4500 rpm	$22,000	        No	        No	        No
Ford	Focus	2016 Focus Hatchback	2016	 26/36 mpg	Hatchback	 5-speed Manual	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	5	Inline 4	 Front Wheel Drive	 Flex-fuel (FFV)	 2.0 L	 160 hp @ 6500 rpm	 146 ft-lbs. @ 4450 rpm	$19,015	        Yes	        Yes	        No
Ford	Fiesta	2016 Fiesta Sedan	2016	 28/36 mpg	Sedan	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 120 hp @ 6350 rpm	 112 ft-lbs. @ 5000 rpm	$14,580	        Yes	        No	        No
Ford	Flex	2016 Flex Wagon	2016	 18/25 mpg	Wagon	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	7	V6	 Front Wheel Drive	 Regular unleaded	 3.5 L	 287 hp @ 6500 rpm	 254 ft-lbs. @ 4000 rpm	$29,600	        Yes	        No	        Yes
Ford	Focus	2016 Focus Sedan	2016	 26/36 mpg	Sedan	 5-speed Manual	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	5	Inline 4	 Front Wheel Drive	 Flex-fuel (FFV)	 2.0 L	 160 hp @ 6500 rpm	 146 ft-lbs. @ 4450 rpm	$17,225	        Yes	        No	        No
Ford	Fiesta	2015 Fiesta Sedan	2015	 28/36 mpg	Sedan	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 120 hp @ 6350 rpm	 112 ft-lbs. @ 5000 rpm	$14,455	        Yes	        No	        Yes
Ford	Fiesta	2016 Fiesta Hatchback	2016	 28/36 mpg	Hatchback	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 120 hp @ 6350 rpm	 112 ft-lbs. @ 5000 rpm	$14,880	        Yes	        No	        No
Ford	F-450 Super Duty	2016 F-450 Super Duty Crew Cab	2016	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Diesel	6	V8	 Four Wheel Drive	 Diesel	 6.7 L	 440 hp @ 2800 rpm	 860 ft-lbs. @ 1600 rpm	$53,060	        No	        No	        No
Ford	F-250 Super Duty	2016 F-250 Super Duty Regular Cab	2016	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	3	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 6.2 L	 385 hp @ 5500 rpm	 405 ft-lbs. @ 4500 rpm	$32,385	        No	        No	        No
Ford	F-250 Super Duty	2016 F-250 Super Duty SuperCab	2016	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	6	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 6.2 L	 385 hp @ 5500 rpm	 405 ft-lbs. @ 4500 rpm	$34,580	        No	        No	        No
Ford	F-250 Super Duty	2014 F-250 Super Duty Regular Cab	2014	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	3	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 6.2 L	 385 hp @ 5500 rpm	 405 ft-lbs. @ 4500 rpm	$30,035	        No	        No	        No
Ford	F-250 Super Duty	2015 F-250 Super Duty Regular Cab	2015	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	3	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 6.2 L	 385 hp @ 5500 rpm	 405 ft-lbs. @ 4500 rpm	$31,235	        No	        No	        No
Ford	F-250 Super Duty	2015 F-250 Super Duty SuperCab	2015	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	6	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 6.2 L	 385 hp @ 5500 rpm	 405 ft-lbs. @ 4500 rpm	$33,430	        No	        No	        No
Ford	F-350 Super Duty	2016 F-350 Super Duty Regular Cab	2016	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	3	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 6.2 L	 385 hp @ 5500 rpm	 405 ft-lbs. @ 4500 rpm	$33,280	        No	        No	        No
Ford	F-350 Super Duty	2016 F-350 Super Duty Crew Cab	2016	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	6	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 6.2 L	 385 hp @ 5500 rpm	 405 ft-lbs. @ 4500 rpm	$36,880	        No	        No	        No
Ford	Explorer	2016 Explorer SUV	2016	 17/24 mpg	SUV	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	7	V6	 Front Wheel Drive	 Flex-fuel (FFV)	 3.5 L	 290 hp @ 6500 rpm	 255 ft-lbs. @ 4000 rpm	$31,050	        Yes	        No	        No
Ford	Explorer	2014 Explorer SUV	2014	 17/24 mpg	SUV	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	7	V6	 Front Wheel Drive	 Flex-fuel (FFV)	 3.5 L	 290 hp @ 6500 rpm	 255 ft-lbs. @ 4000 rpm	$30,015	        No	        No	        No
Ford	F-150	2015 F-150 Regular Cab	2015	 18/25 mpg	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	3	V6	 Rear Wheel Drive	 Flex-fuel (FFV)	 3.5 L	 282 hp @ 6250 rpm	 253 ft-lbs. @ 4250 rpm	$26,030	        No	        No	        No
Ford	F-150	2016 F-150 Regular Cab	2016	 18/25 mpg	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	3	V6	 Rear Wheel Drive	 Flex-fuel (FFV)	 3.5 L	 282 hp @ 6250 rpm	 253 ft-lbs. @ 4250 rpm	$26,315	        No	        No	        No
Ford	Explorer	2015 Explorer SUV	2015	 17/24 mpg	SUV	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	7	V6	 Front Wheel Drive	 Flex-fuel (FFV)	 3.5 L	 290 hp @ 6500 rpm	 255 ft-lbs. @ 4000 rpm	$30,700	        No	        No	        No
Ford	F-150	2014 F-150 Regular Cab	2014	 17/23 mpg	Truck	 6-speed Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	3	V6	 Rear Wheel Drive	 Flex-fuel (FFV)	 3.7 L	 302 hp @ 6500 rpm	 278 ft-lbs. @ 4000 rpm	$25,025	        No	        No	        No
Ford	F-350 Super Duty	2015 F-350 Super Duty Crew Cab	2015	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	6	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 6.2 L	 385 hp @ 5500 rpm	 405 ft-lbs. @ 4500 rpm	$35,730	        No	        No	        No
Ford	F-150	2014 F-150 SVT Raptor	2014	 11/16 mpg	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V8	 Four Wheel Drive	 Regular unleaded	 6.2 L	 411 hp @ 5500 rpm	 434 ft-lbs. @ 4500 rpm	$44,995	        Yes	        No	        Yes
